店名,ジャンル,住所,営業時間,ホームページ,オープン日,公式アカウント,address,緯度,経度
ザ・リッツ・カールトン・グルメショップ,ケーキ、パン、チョコレート,大阪府大阪市北区梅田2-5-25 ザ・リッツ・カールトン大阪 1F ,営業時間  平日　11:00 a.m. ～ 6:00 p.m.土・日・祝日　10:00 a.m. ～ 7:00 p.m.  日曜営業  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市北区梅田2-5-25,34.69796,135.491921
カカオティエ ゴカン 高麗橋本店（Cacaotier Gokan）,チョコレート、ケーキ、カフェ,大阪府大阪市中央区高麗橋2-6-9 1F ,営業時間  10:00～19:00(L.O.18:00)  日曜営業  定休日  不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://cacaotier-gokan.co.jp,2016年2月1日,https://www.facebook.com/Cacaotier-Gokan-182898058845958/  https://www.instagram.com/cacaotiergokan/,大阪府大阪市中央区高麗橋2-6-9,34.68966,135.504259
やまもと菓子店（YAMAMOTO KASHITEN）,ケーキ、チョコレート,大阪府大阪市西区新町1-21-3 小林ビル 1F ,営業時間  不定です。だいたい14時半～15時頃までには開店されています。最近は15時頃のことが多いです。(2016年12月現在)※完売次第閉店  定休日  日曜・月曜。急遽臨時休業されることもあります。  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2011年10月,https://twitter.com/yamamotokasiten  https://www.instagram.com/yamamotokasiten/,大阪府大阪市西区新町1-21-3,34.676844,135.495112
ティカール　バイ　カカオマス（TIKAL by Cacao en Masse）,チョコレート、ケーキ,大阪府大阪市中央区伏見町3-3-3 芝川ビル　１Ｆ ,営業時間  ［月～金］11:30～19:00［土・日・祝］11:30～18:00  日曜営業  定休日  祝日の月曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2008年6月20日,,大阪府大阪市中央区伏見町3-3-3,34.688996,135.501891
レクラ,チョコレート、ケーキ,大阪府大阪市北区中之島5-3-68 リーガロイヤルホテル 1F ,営業時間  ［秋冬期間 ～3月31日］　11：00～19：00［春夏期間 4月1日～］　11：30～18：30※季節により営業時間が異なります。  日曜営業  定休日  年中無休,,,,大阪府大阪市北区中之島5-3-68,34.690167,135.48734
パティスリー ルシェルシェ（Patisserie Rechercher）,ケーキ、チョコレート,大阪府大阪市西区南堀江3-9-28  このお店は「大阪市西区南堀江4-5」から移転しています。  ※移転前の情報は最新のものとは異なります。  移転前の店舗情報を見る,営業時間  10:00～19:00  定休日  火曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市西区南堀江3-9-28,34.672018,135.489075
パティスリー シロ・デラブル（Patisserie de ESAKA SIROP D'ERABLE）,ケーキ、チョコレート,大阪府吹田市江の木町5-3 レーベンハウス江坂 1F ,営業時間  10:00～19:00  日曜営業  定休日  不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.s-derable.com/,2008年6月10日,https://www.instagram.com/siropderable_esaka/,大阪府吹田市江の木町5-3,34.756334,135.494913
ショコラトリー・パティスリー ソリリテ（CHOCOLATERIE PATISSERIE SOLILITE）,チョコレート、ケーキ,大阪府大阪市西区江戸堀2-2-5,営業時間  10:00～19:00 日曜営業  定休日  火曜日、他に不定休あり  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://solilite.site,2015年11月17日,https://www.facebook.com/solilite/  https://www.instagram.com/chocolateriesolilite/,大阪府大阪市西区江戸堀2-2-5,34.687537,135.491683
ブルガリ イル・カフェ 阪急うめだ本店（BVLGARI IL CAFE）,カフェ、チョコレート、イタリアン,大阪府大阪市北区角田町8-7 阪急うめだ本店 5F ,営業時間  [日曜～木曜]10:00～20:00[金曜、土曜]10:00～21:00（時期によって異なる場合がございます）  日曜営業  定休日  不定休(阪急うめだ本店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市北区角田町8-7,34.70305,135.498352
グラモウディーズ 梅田阪急店（GLAMOURDISE）,チョコレート、ケーキ、マカロン,大阪府大阪市北区角田町8-7 阪急うめだ本店 1F ,営業時間  [月・火・日]10:00～20:00[水～土]10:00～21:00  日曜営業  定休日  不定休（阪急うめだ本店に準ずる）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://glamourdise.jp/,2009年9月3日,,大阪府大阪市北区角田町8-7,34.70305,135.498352
パティスリー SATSUKI（サツキ【旧店名】スゥイートショップ）,ケーキ、パン、チョコレート,大阪府大阪市中央区城見1-4-1 ホテルニューオータニ大阪 ,営業時間  10:00～20:00  日曜営業  定休日  無し,,,,大阪府大阪市中央区城見1-4-1,34.690871,135.533009
ポアール・ド・ノール 北新地店（POIRE du nord）,ケーキ、チョコレート,大阪府大阪市北区曽根崎新地1-2-22 北リンデンビル 1F ,営業時間  12:00～23:00  定休日  日曜日・祝日 ※クリスマス等イベント時変更あり(公式サイトにて告知),https://poire.co.jp/,,https://www.facebook.com/poire.du.nord/  https://www.instagram.com/poire.jp/,大阪府大阪市北区曽根崎新地1-2-22,34.700219,135.501036
バトンドール 阪急 うめだ本店（Baton dor）,チョコレート,大阪府大阪市北区角田町8-7 阪急うめだ本店 B1F ,営業時間  [日～木]10:00～20:00[金・土]10:00～21:00  日曜営業  定休日  不定休 (阪急うめだ本店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.glico.co.jp/batondor/,2012年10月25日,,大阪府大阪市北区角田町8-7,34.70305,135.498352
菓子工房 エピナール,チョコレート、ケーキ,大阪府箕面市箕面6丁目6-8,営業時間  [木～火・祝]9:30～20:00  日曜営業  定休日  水曜日(祝日の場合営業) 、不定休(SNSにて告知)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.m-epi.com/,1982年,https://www.facebook.com/菓子工房エピナール-228501047166091/  https://www.instagram.com/epinard.minoo/,大阪府箕面市箕面6丁目6-8,34.832497,135.469015
ガトーフェスタ ハラダ 阪神百貨店 梅田本店（GATEAU FESTA HARADA）,チョコレート,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店 B1F ,営業時間  [日～火・祝]10:00～20:00[水～土]10:00～21:00  日曜営業  定休日  不定休 (阪神百貨店梅田本店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.gateaufesta-harada.com/,2009年8月26日,,大阪府大阪市北区梅田1-13-13,34.701132,135.499039
ラ・メゾン・デュ・ショコラ 梅田阪急店,ケーキ、チョコレート,大阪府大阪市北区角田町8-7 阪急うめだ本店 B1F ,営業時間  10:00～21:00  日曜営業  定休日  不定休(阪急うめだ本店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.lamaisonduchocolat.co.jp/ja_jp/,2012年10月25日,https://www.facebook.com/LaMaisonduChocolatJapon/  https://www.instagram.com/lamaisonduchocolat_jp/,大阪府大阪市北区角田町8-7,34.70305,135.498352
フロランタン,パフェ、カフェ、チョコレート,大阪府大阪市北区曽根崎新地1-3-19 北新地ビルディング 4F ,営業時間  ［火・水・木・金］19:00～22:30 (21:30L.O)［土］15:00～18:00 (17:00L.O)19:00～22:30 (21:30L.O)  定休日  ［日・月］,,,,大阪府大阪市北区曽根崎新地1-3-19,34.697753,135.495789
ヴェンキ ディアモール大阪店（Venchi）,チョコレート、アイスクリーム,大阪府大阪市北区梅田1 大阪駅前ダイヤモンド地下街2号 G112区画 ,営業時間  10:00～21:00  日曜営業  定休日  施設に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://venchi.co.jp/,2021年7月16日,https://www.facebook.com/VenchiJP  https://twitter.com/VenchiJP  https://www.instagram.com/venchi_jp,大阪府大阪市北区梅田1-1,34.698708,135.499563
ANAクラウンプラザホテル大阪 DELICA SHOP（デリカショップ）,ケーキ、チョコレート、パン,大阪府大阪市北区堂島浜1-3-1 ANAクラウンプラザホテル大阪 1F ,営業時間  11:00～21:00  日曜営業  定休日  無休,http://jp.anacrowneplaza-osaka.jp/restaurant/delica.html,,,大阪府大阪市北区堂島浜1-3-1,34.695561,135.498311
プチプランス 上新庄店（Petit Prince）,ケーキ、チョコレート,大阪府大阪市東淀川区瑞光1-11-4,営業時間  [月～土] ※第3水曜日以外10:00～21:00[日・祝]10:00～20:00  日曜営業  定休日  第３水曜日（８月・１２月は無休）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.petit-prince.co.jp/,,https://www.facebook.com/プチプランス-285222344997753/  https://www.instagram.com/petitprince.co.jp/,大阪府大阪市東淀川区瑞光1-11-4,34.748617,135.533388
