店名,ジャンル,住所,営業時間,ホームページ,オープン日,公式アカウント,address,緯度,経度
PRAZA ららぽーとEXPOCITY店（プラザ）,チョコレート、その他,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F ,営業時間  10:00～21:00  定休日  不定休(ららぽーとEXPOCITYに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2015年11月17日,,大阪府吹田市千里万博公園2-1,34.805863,135.53511
オブ ザ オーブン（of the oven）,洋菓子（その他）、チョコレート,大阪府大阪市中央区難波5-1-60 なんばCITY 本館 1F ,営業時間  10:00～21:00  日曜営業  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市中央区難波5-1-60,34.66406,135.501469
ハツガ（HATSUGA）,チョコレート,大阪府大阪市都島区都島中通3-5-10,営業時間  11:00～13:00  日曜営業  定休日  月曜日、火曜日、水曜日、木曜日、金曜日、土曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://hatsuga-cookie.jimdo.com/,,,大阪府大阪市都島区都島中通3-5-10,34.70307,135.535894
クレ・ド・カカオ 松坂屋高槻店,チョコレート、ケーキ,大阪府高槻市紺町2-1 松坂屋高槻店 B1F ,営業時間  10:00～20:00  定休日  年中無休(1月1日のみ休み)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府高槻市紺町2-1,34.850541,135.618417
アイダ ジェネラル ストア なんばCITY店（AIDA general store）,チョコレート,大阪府大阪市中央区なんば5-1-60 なんばCITY 南館 2F ,営業時間  10:00～21:00  定休日  不定休 （なんばCITYに準ずる。）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,https://www.instagram.com/aida_namba/,大阪府大阪市中央区なんば5-1-60,34.66406,135.501469
ゴンチャロフ あべのハルカス近鉄本店（Goncharoff）,チョコレート,大阪府大阪市阿倍野区阿倍野筋1-1-43 あべのハルカス 近鉄本店 ,営業時間  10:00～21:00  定休日  不定休(あべのハルカス近鉄本店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.goncharoff.co.jp/,,,大阪府大阪市阿倍野区阿倍野筋1-1-43,34.645952,135.513974
ゴディバ 高島屋堺店（GODIVA）,チョコレート,大阪府堺市堺区三国ケ丘御幸通59 堺タカシマヤ 2F ,営業時間  10:00～19:00  日曜営業  定休日  不定休(堺タカシマヤに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/boutique/?view=detail&store_code=725075,,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府堺市堺区三国ケ丘御幸通59,34.576506,135.484763
リンツ ショコラ ブティック＆カフェ ルクア大阪店,カフェ、チョコレート,大阪府大阪市北区梅田3-1-3 ルクア B1F ,営業時間  10:00～21:00  定休日  ルクア大阪の営業時間に準ずる,http://www.lindt.jp,2020年7月1日,https://www.facebook.com/LindtJapan  https://twitter.com/LindtJapan  https://www.instagram.com/Lindt_Chocolate_Japan,大阪府大阪市北区梅田3-1-3,34.702887,135.495324
Mary's 近鉄百貨店阿倍野本店（メリー）,チョコレート,大阪府大阪市阿倍野区阿倍野筋1-1-43 あべのハルカス近鉄本店 ,,http://www.mary.co.jp/,,,大阪府大阪市阿倍野区阿倍野筋1-1-43,34.645952,135.513974
モンロワール 豊中店,チョコレート,大阪府豊中市玉井町1-1-1 エトレ豊中 ,営業時間  10:00～20:00  定休日  不定休（月約1日）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.monloire.co.jp,,,大阪府豊中市玉井町1-1-1,34.786923,135.461349
ゴディバ 泉北高島屋店（ＧＯＤＩＶＡ）,チョコレート,大阪府堺市南区茶山台1-3-1 泉北タカシマヤ ,営業時間  10:00～19:00  日曜営業  定休日  泉北タカシマヤに準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府堺市南区茶山台1-3-1,34.496292,135.515257
モンロワール 近鉄あべのハルカス店,チョコレート,大阪府大阪市阿倍野区阿倍野筋1-1-43 あべのハルカス 近鉄本店 B1F ,営業時間  10:00～20:30  定休日  不定休(あべのハルカス近鉄本店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.monloire.co.jp/,2015年5月28日,,大阪府大阪市阿倍野区阿倍野筋1-1-43,34.645952,135.513974
ゴディバホテル日航大阪店,チョコレート,大阪府大阪市中央区西心斎橋1-3-3 ホテル日航大阪 1F ,営業時間  open11:00～20:00  日曜営業  定休日  不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府大阪市中央区西心斎橋1-3-3,34.6739,135.499711
ゴディバ 京阪モール京橋店（GODIVA）,チョコレート、アイスクリーム,大阪府大阪市都島区東野田町2-1-38 京阪百貨店 モール京橋店 1F ,営業時間  10:30～21:00  日曜営業  定休日  不定休(京阪モールに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/boutique/index.html?view=detail&store_code=723700,2017年3月17日,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府大阪市都島区東野田町2-1-38,34.697678,135.532913
ゴンチャロフ 高島屋大阪店（Goncharoff）,チョコレート,大阪府大阪市中央区難波5-1-5 大阪タカシマヤ B1F ,営業時間  10:00～20:00  定休日  不定休(大阪タカシマヤに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.goncharoff.co.jp/,,,大阪府大阪市中央区難波5-1-5,34.664609,135.501263
モロゾフ 松坂屋高槻店,チョコレート、ケーキ,大阪府高槻市紺屋町2-1 松坂屋高槻店 B1F ,営業時間  10:00～20:00  定休日  年中無休(1月1日のみ休み)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府高槻市紺屋町2-1,34.850541,135.618417
モロゾフ 高槻阪急店,チョコレート、ケーキ,大阪府高槻市白梅町4-1 高槻阪急店 B1F ,営業時間  10:00〜20:00  日曜営業  定休日  高槻阪急に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.morozoff.co.jp,,https://www.facebook.com/morozoff.limited  https://twitter.com/morozoff_sp  https://www.instagram.com/morozoff_sp/,大阪府高槻市白梅町4-1,34.853398,135.618343
ゴディバ 京阪くずはモール店（GODIVA）,チョコレート,大阪府枚方市楠葉花園町15-1 京阪百貨店くずはモール店 1F ,営業時間  10:00～20:00  日曜営業  定休日  不定休(京阪百貨店くずはモール店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,2015年12月17日,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府枚方市楠葉花園町15-1,34.862232,135.677107
モロゾフ フレスト天満橋店（Morozoff）,ケーキ、チョコレート,大阪府大阪市中央区天満橋京町1-1 京阪シティモール TY MALL B2F ,営業時間  10:00～21:00  日曜営業  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.morozoff.co.jp,,,大阪府大阪市中央区天満橋京町1-1,34.690115,135.516403
ゴンチャロフ 高島屋泉北店（Goncharoff）,チョコレート,大阪府堺市南区茶山台1-3-1 泉北タカシマヤ 1F ,営業時間  10:00～19:00  日曜営業  定休日  泉北タカシマヤに準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.goncharoff.co.jp/,,,大阪府堺市南区茶山台1-3-1,34.496292,135.515257
ヴィタメール 大丸心斎橋店,洋菓子（その他）、チョコレート,大阪府大阪市中央区心斎橋筋1-7-1 大丸心斎橋店 本館 B1F   このお店は「大阪市中央区心斎橋筋1-7-1」から移転しています。  ※移転前の情報は最新のものとは異なります。  移転前の店舗情報を見る,,https://www.wittamer.jp/shops/shinsaibashi_daimaru.html,,,大阪府大阪市中央区心斎橋筋1-7-1,34.67385,135.500963
モンロワール イオンモール茨木店,チョコレート,大阪府茨木市松ケ本町8-30 イオンモール茨木 1F ,営業時間  9:00～22:00  日曜営業  定休日  不定休(イオンモール茨木に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.monloire.co.jp/,2015年4月24日,,大阪府茨木市松ケ本町8-30,34.811242,135.55881
鹿鳴館 松坂屋高槻店（ロクメイカン）,ケーキ、チョコレート,大阪府高槻市紺屋町2-1 松坂屋高槻店 B1F ,営業時間  10:00～20:00  定休日  不定休(松坂屋高槻店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府高槻市紺屋町2-1,34.850541,135.618417
ゴンチャロフ 千里阪急（Goncharoff）,チョコレート,大阪府豊中市新千里東町1-5-1 千里阪急 ,営業時間  10:00～20:00  日曜営業  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.goncharoff.co.jp/,,,大阪府豊中市新千里東町1-5-1,34.809839,135.495975
PLAZA ルクア大阪店（プラザ）,チョコレート、スイーツ（その他）,大阪府大阪市北区梅田3-1-3 ルクア 大阪 6F ,営業時間  10:00～21:00  日曜営業  定休日  無休(1月1日のみ休み)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市北区梅田3-1-3,34.702887,135.495324
モンロワール 天満橋店（mon loire）,チョコレート、洋菓子（その他）、バームクーヘン,大阪府大阪市中央区天満橋京町1-1 京阪シティーモール B1F ,営業時間  10:00～21:00  日曜営業  定休日  京阪シティーモールに準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.citymall.jp/shopguide/detail/?id=21,,,大阪府大阪市中央区天満橋京町1-1,34.690115,135.516403
ゴディバ 阪急高槻（GODIVA）,チョコレート,大阪府高槻市白梅町4-1 高槻阪急 B1F ,営業時間  10:00〜20:00※高槻阪急に準ずる  日曜営業  定休日  高槻阪急に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府高槻市白梅町4-1,34.853398,135.618343
ゴンチャロフ 松坂屋高槻店（マツザカヤタカツキテン）,チョコレート,大阪府高槻市紺屋町2-1 松坂屋高槻店 B1F ,営業時間  10:00～20:00  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.goncharoff.co.jp/,,,大阪府高槻市紺屋町2-1,34.850541,135.618417
ゴンチャロフ 高槻阪急（Goncharoff）,チョコレート,大阪府高槻市白梅町4-1 高槻阪急 B1F ,営業時間  10:00～20:00  日曜営業  定休日  高槻阪急に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.goncharoff.co.jp/,,https://twitter.com/goncharoff_1923  https://www.instagram.com/goncharoff_1923/,大阪府高槻市白梅町4-1,34.853398,135.618343
